"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","ClumpDiam","TransectCount","TallestStemTrueLeaf","TallestStemLigule","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
1,1,4,"27827"," - Mx 1553#1","1",5.06,5.36,4.29,4.9,0.6,270,25,121,123,NA,"y","","","y"
2,7,6,"27954"," - Mx 1553#1","1",5.09,3.86,4.76,4.6,0.6,310,18,122,123,NA,"y","","","y"
3,4,3,"28026"," - Mx 1553#1","1",5.47,5.39,5.39,5.4,0,420,17,127,129,NA,"y","","","y"
1,3,12,"27896"," - Mx 1553#2","2",4.8,3.96,4.48,4.4,0.4,360,18,130,162,169,"","","y","y"
2,9,3,"27929"," - Mx 1553#2","2",5.08,5.53,4.67,5.1,0.4,270,12,127,149,153,"","y","","y"
3,3,6,"28051"," - Mx 1553#2","2",4.99,4.75,4.46,4.7,0.3,340,16,149,168,174,"","","y","y"
1,2,4,"27828"," - Mx 1553#3","3",4.41,5.24,5.55,5.1,0.6,290,20,84,87,NA,"y","","","y"
2,6,4,"27935"," - Mx 1553#3","3",5.33,4.24,5.03,4.9,0.6,340,19,85,85,NA,"y","","","y"
3,1,10,"28083"," - Mx 1553#3","3",4.91,5.86,5.31,5.4,0.5,260,17,92,93,NA,"y","","","y"
1,2,10,"27879"," - Mx 1553#4","4",4.95,4.57,4.75,4.8,0.2,290,17,136,150,157,"","","y","y"
2,3,2,"27914"," - Mx 1553#4","4",4.27,4.66,4.41,4.4,0.2,290,17,123,147,158,"","","y","y"
3,8,2,"28021"," - Mx 1553#4","4",5.52,4.07,4.81,4.8,0.7,330,26,127,146,156,"","y","","y"
1,4,9,"27873"," - Mx 1553#5","5",5.22,4.98,4,4.7,0.6,260,17,29,30,NA,"y","","","y"
2,7,7,"27962"," - Mx 1553#5","5",3.64,2.63,2.5,2.9,0.6,130,10,32,33,NA,"y","","","y"
3,2,12,"28102"," - Mx 1553#5","5",3,2.09,3.33,2.8,0.6,240,6,24,26,NA,"y","","","y"
1,2,7,"27853"," - Mx 1553#6","6",5.02,4.69,5.57,5.1,0.4,430,18,153,176,179,"","","y","y"
2,4,7,"27959"," - Mx 1553#6","6",5.07,4.39,4.34,4.6,0.4,360,13,136,169,NA,"","","y","y"
3,9,1,"28014"," - Mx 1553#6","6",3.85,4.43,4.48,4.3,0.4,390,18,168,191,193,"","","y","y"
1,3,11,"27888"," - Mx 1553#7","7",4.06,4.24,4.81,4.4,0.4,400,17,160,181,NA,"","","y","y"
2,5,12,"28001"," - Mx 1553#7","7",4.18,4.98,4.56,4.6,0.4,350,21,166,183,NA,"","","y","y"
3,4,9,"28077"," - Mx 1553#7","7",4.41,4.32,4.52,4.4,0.1,290,13,155,177,188,"","","y","y"
1,5,8,"27865"," - Mx 1553#8","8",4.39,4.48,4.57,4.5,0.1,500,21,138,159,160,"y","","","y"
2,5,6,"27952"," - Mx 1553#8","8",5.25,5.48,4.23,5,0.7,510,21,139,158,159,"y","","","y"
3,9,11,"28100"," - Mx 1553#8","8",4.71,3.91,4.4,4.3,0.4,380,18,142,161,165,"y","","","y"
1,9,7,"27860"," - Mx 1553#9","9",5.99,5.4,5.55,5.6,0.3,170,8,63,64,NA,"y","","","y"
2,6,2,"27917"," - Mx 1553#9","9",4.66,4.91,5.75,5.1,0.6,240,10,48,51,NA,"y","","","y"
3,2,5,"28041"," - Mx 1553#9","9",4.63,4.65,3.97,4.4,0.4,80,8,45,48,NA,"y","","","y"
1,4,12,"27897"," - Mx 1553#10","10",4.19,5.44,4.54,4.7,0.6,430,20,185,208,213,"","","y","y"
2,1,1,"27903"," - Mx 1553#10","10",3.92,4.3,3.72,4,0.3,460,17,178,198,NA,"","","y","y"
3,6,2,"28019"," - Mx 1553#10","10",5.46,4.96,4.54,5,0.5,350,16,180,195,NA,"","","y","y"
1,9,2,"27818"," - Mx 1553#11","11",5.34,5.27,5.53,5.4,0.1,430,21,172,192,NA,"","","y","y"
2,6,11,"27993"," - Mx 1553#11","11",4.71,5.02,4.35,4.7,0.3,390,13,167,195,198,"","","y","y"
2,9,1,"27911"," - Mx 1553#11","11",5.48,6.01,5.38,5.6,0.3,230,13,133,164,NA,"","","y","y"
3,7,2,"28020"," - Mx 1553#11","11",4.93,4.44,4.29,4.6,0.3,490,17,163,192,193,"","","y","y"
3,7,8,"28071"," - Mx 1553#11","11",5.37,4.25,4.43,4.7,0.6,450,20,165,183,NA,"","","y","y"
1,2,1,"27802"," - Mx 1553#12","12",3.83,4.31,4.28,4.1,0.3,260,26,162,188,NA,"","","y","y"
2,9,9,"27980"," - Mx 1553#12","12",3.66,3.88,3.03,3.5,0.4,390,28,163,202,206,"","","y","y"
3,7,6,"28054"," - Mx 1553#12","12",3.78,3.86,3.77,3.8,0,260,26,160,189,191,"","","y","y"
1,7,7,"27858"," - Mx 1553#14","14",4.49,3.85,3.83,4.1,0.4,430,17,143,173,180,"","","y","y"
2,5,9,"27977"," - Mx 1553#14","14",4.66,5.02,4.7,4.8,0.2,460,20,191,215,NA,"","","y","y"
3,1,4,"28032"," - Mx 1553#14","14",4.8,4.09,4.52,4.5,0.4,420,16,156,186,NA,"","","y","y"
1,4,5,"27838"," - Mx 1553#15","15",5.49,4.57,4.45,4.8,0.6,600,17,187,218,NA,"","","y","y"
2,5,10,"aBR 15 fS B2-R5 C10"," - Mx 1553#15","15",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,6,4,"28036"," - Mx 1553#15","15",5.29,4.29,4.59,4.7,0.5,420,13,187,217,222,"","","y","y"
1,7,9,"27876"," - Mx 1553#16","16",4.64,3.86,4.77,4.4,0.5,230,23,144,164,166,"","","y","y"
2,3,9,"27975"," - Mx 1553#16","16",5.07,5.49,4.56,5,0.5,290,14,150,173,175,"","","y","y"
3,5,8,"28069"," - Mx 1553#16","16",5.19,4.29,4.25,4.6,0.5,220,17,155,179,185,"","","y","y"
1,5,1,"27805"," - Mx 1553#17","17",5.26,5.33,5.39,5.3,0.1,230,18,161,186,NA,"","","y","y"
2,7,4,"27936"," - Mx 1553#17","17",5.49,4.67,5.27,5.1,0.4,230,9,167,192,NA,"","","y","y"
3,8,5,"28047"," - Mx 1553#17","17",4.61,4.68,4.27,4.5,0.2,300,14,145,182,192,"","","y","y"
1,8,9,"27877"," - Mx 1553#18","18",3.88,3.28,4.07,3.7,0.4,290,23,145,169,NA,"","","y","y"
2,7,1,"27909"," - Mx 1553#18","18",4.24,4.36,4.3,4.3,0.1,390,32,158,179,NA,"","","y","y"
3,6,6,"28053"," - Mx 1553#18","18",4.65,3.8,4.09,4.2,0.4,400,29,154,171,NA,"","y","","y"
1,8,3,"27825"," - Mx 1553#19","19",4.39,4.9,3.84,4.4,0.5,240,20,124,145,151,"","","y","y"
2,9,12,"28005"," - Mx 1553#19","19",4.49,4.37,4.35,4.4,0.1,320,17,128,155,165,"","","y","y"
3,8,12,"28107"," - Mx 1553#19","19",3.98,3.92,4.3,4.1,0.2,250,17,136,161,172,"","","y","y"
1,4,10,"27881"," - Mx 1553#20","20",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,8,1,"27910"," - Mx 1553#20","20",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,8,7,"28063"," - Mx 1553#20","20",4.01,4.27,4.73,4.3,0.4,230,13,99,102,NA,"y","","","y"
1,5,9,"27874"," - Mx 1553#22","22",4.96,4.92,4.34,4.7,0.3,410,20,152,182,189,"","","y","y"
2,3,7,"27958"," - Mx 1553#22","22",4.7,4.96,4.89,4.8,0.1,460,21,149,173,NA,"","","y","y"
3,5,4,"28035"," - Mx 1553#22","22",4.79,3.55,3.95,4.1,0.6,420,20,161,190,NA,"","","y","y"
1,3,5,"27837"," - Mx 1553#23","23",4.79,4.84,4.43,4.7,0.2,310,24,144,173,195,"","","y","y"
2,7,9,"27978"," - Mx 1553#23","23",5.24,4.74,4.71,4.9,0.3,460,21,165,194,205,"","","y","y"
3,2,1,"28007"," - Mx 1553#23","23",4.93,4.21,5.41,4.8,0.6,370,26,158,183,197,"","","y","y"
1,4,1,"27804"," - Mx 1553#24","24",5.17,4.86,5.09,5,0.2,510,30,171,190,191,"","","y","y"
2,5,8,"27969"," - Mx 1553#24","24",5.65,5.39,4.55,5.2,0.6,340,20,200,231,238,"","","y","y"
3,2,9,"28075"," - Mx 1553#24","24",5.11,5.32,4.32,4.9,0.5,390,15,178,205,206,"","","y","y"
1,1,3,"27819"," - Mx 1553#25","25",6.31,4.41,6.04,5.6,1,370,10,162,183,191,"","","y","y"
2,3,3,"27923"," - Mx 1553#25","25",4.99,5.21,6.1,5.4,0.6,600,16,158,186,190,"","","y","y"
3,4,4,"28034"," - Mx 1553#25","25",4.8,4.34,4.33,4.5,0.3,310,21,84,84,NA,"y","","","y"
1,7,11,"27892"," - Mx 1553#26","26",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,6,5,"27944"," - Mx 1553#26","26",5.87,4.9,5.1,5.3,0.5,280,10,80,98,100,"","y","","y"
3,6,8,"28070"," - Mx 1553#26","26",6,4.84,5.33,5.4,0.6,340,5,85,109,126,"","y","","y"
1,8,1,"27808"," - Mx 1553#27","27",3.84,4.23,4.76,4.3,0.5,300,32,95,96,NA,"y","","","y"
2,3,1,"27905"," - Mx 1553#27","27",4.79,4.81,5.11,4.9,0.2,310,14,97,98,NA,"y","","","y"
3,7,11,"28098"," - Mx 1553#27","27",4.75,3.83,4.31,4.3,0.5,390,13,80,82,NA,"y","","","y"
1,1,7,"27852"," - Mx 1553#28","28",5.94,4.88,5.49,5.4,0.5,230,19,151,174,180,"","","y","y"
2,1,8,"aBR 15 fS B2-R1 C8"," - Mx 1553#28","28",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,3,8,"28067"," - Mx 1553#28","28",4.31,4.08,4.44,4.3,0.2,300,16,164,185,NA,"","y","","y"
1,4,4,"27829"," - Mx 1553#32","32",4.79,4.95,4.84,4.9,0.1,370,15,76,76,NA,"y","","","y"
2,6,1,"27908"," - Mx 1553#32","32",4.08,4.4,4.42,4.3,0.2,350,18,94,97,NA,"y","","","y"
3,1,11,"28092"," - Mx 1553#32","32",4.25,4.54,4.28,4.4,0.2,360,16,63,64,NA,"y","","","y"
1,8,4,"27833"," - Mx 1553#34","34",4.86,4.59,3.45,4.3,0.7,240,28,115,131,NA,"y","","","y"
2,9,4,"27938"," - Mx 1553#34","34",4.39,3.97,3.99,4.1,0.2,370,25,134,147,149,"","y","","y"
3,3,3,"28025"," - Mx 1553#34","34",3.63,3.56,4.82,4,0.7,300,26,117,131,132,"","y","","y"
1,9,4,"27834"," - Mx 1553#35","35",4.22,4.92,3.96,4.4,0.5,360,18,112,113,NA,"y","","","y"
2,4,12,"28000"," - Mx 1553#35","35",3.95,3.8,4.22,4,0.2,460,20,134,136,NA,"y","","","y"
3,9,10,"28091"," - Mx 1553#35","35",5.77,4.61,5.26,5.2,0.6,410,17,119,122,NA,"y","","","y"
1,2,6,"27844"," - Mx 1553#36","36",4.93,5.81,4.05,4.9,0.9,330,17,183,208,218,"","","y","y"
2,6,10,"27986"," - Mx 1553#36","36",5.26,5.25,5.43,5.3,0.1,370,15,187,209,211,"","","y","y"
3,7,9,"28080"," - Mx 1553#36","36",5.38,4.91,5.29,5.2,0.2,390,21,195,218,NA,"","","y","y"
1,3,6,"27845"," - Mx 1553#37","37",4.67,4.79,4.27,4.6,0.3,470,22,147,182,190,"","","y","y"
2,7,11,"27994"," - Mx 1553#37","37",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,3,7,"28058"," - Mx 1553#37","37",5.02,4.41,5.12,4.8,0.4,530,21,148,184,196,"","","y","y"
1,6,7,"27857"," - Mx 1553#39","39",4.95,5.18,5.34,5.2,0.2,290,23,162,181,188,"","","y","y"
2,4,4,"27933"," - Mx 1553#39","39",4.3,5.01,5.16,4.8,0.5,320,18,178,187,200,"","","y","y"
3,9,7,"28064"," - Mx 1553#39","39",4.46,4.76,4.02,4.4,0.4,330,15,165,182,184,"","","y","y"
1,7,5,"27841"," - Mx 1553#40","40",3.86,4.47,4.67,4.3,0.4,260,14,104,106,NA,"y","","","y"
2,2,8,"27966"," - Mx 1553#40","40",4.04,4.93,4.4,4.5,0.4,400,15,116,118,NA,"y","","","y"
3,8,9,"28081"," - Mx 1553#40","40",5.84,5.07,4.63,5.2,0.6,370,17,112,114,NA,"y","","","y"
1,8,7,"27859"," - Mx 1553#41","41",5.15,5.1,3.92,4.7,0.7,300,26,153,178,182,"","","y","y"
2,7,10,"27987"," - Mx 1553#41","41",4.16,4.48,5.16,4.6,0.5,370,24,153,175,180,"","","y","y"
3,3,12,"28103"," - Mx 1553#41","41",3.68,4.08,4.3,4,0.3,410,25,145,165,170,"","","y","y"
1,7,4,"27832"," - Mx 1553#42","42",4.44,4.61,4.34,4.5,0.1,180,11,114,132,133,"","","y","y"
2,7,12,"28003"," - Mx 1553#42","42",5.11,4.8,5.01,5,0.2,340,15,132,163,NA,"","","y","y"
3,9,9,"28082"," - Mx 1553#42","42",4.17,5.17,4.6,4.6,0.5,260,13,145,175,NA,"","","y","y"
1,2,5,"27836"," - Mx 1553#43","43",5.54,5.9,5.47,5.6,0.2,300,19,187,210,218,"","","y","y"
2,5,2,"27916"," - Mx 1553#43","43",6.14,5.33,5.98,5.8,0.4,360,22,206,232,NA,"","","y","y"
3,4,6,"28052"," - Mx 1553#43","43",5.06,5.28,5.41,5.2,0.2,460,20,198,223,NA,"","","y","y"
1,7,12,"27900"," - Mx 1553#44","44",5.38,4.9,5.09,5.1,0.2,250,17,68,70,NA,"y","","","y"
2,4,5,"27942"," - Mx 1553#44","44",4.33,4.61,4.09,4.3,0.3,320,17,77,77,NA,"y","","","y"
3,5,11,"28096"," - Mx 1553#44","44",4.66,3.77,4.7,4.4,0.5,280,13,63,66,NA,"y","","","y"
1,1,5,"27835"," - Mx 1553#45","45",3.34,3.6,4.24,3.7,0.5,280,15,130,159,161,"","","y","y"
2,9,8,"27972"," - Mx 1553#45","45",3.94,4.17,4.11,4.1,0.1,360,17,151,177,NA,"","","y","y"
3,4,2,"28017"," - Mx 1553#45","45",4.45,4.18,3.94,4.2,0.3,290,16,96,129,132,"","","y","y"
1,9,5,"27843"," - Mx 1553#46","46",4.5,4.27,5.09,4.6,0.4,420,20,169,191,197,"","","y","y"
2,2,6,"27949"," - Mx 1553#46","46",4.56,4.44,5.7,4.9,0.7,310,16,167,187,193,"","","y","y"
3,1,8,"28065"," - Mx 1553#46","46",5.6,4.69,5.23,5.2,0.5,580,16,156,177,188,"","","y","y"
1,3,1,"27803"," - Mx 1553#47","47",3.93,3.52,3.96,3.8,0.2,280,31,154,173,177,"","","y","y"
2,5,1,"27907"," - Mx 1553#47","47",4.94,5.25,5.59,5.3,0.3,290,28,174,192,197,"","","y","y"
3,3,9,"28076"," - Mx 1553#47","47",5.14,4.14,4.33,4.5,0.5,320,19,155,171,174,"","","y","y"
1,1,10,"27878"," - Mx 1553#48","48",4.94,5.25,4.37,4.9,0.4,380,19,148,165,171,"","y","","y"
2,8,12,"28004"," - Mx 1553#48","48",3.93,4.82,4.91,4.6,0.5,320,21,142,160,167,"","y","","y"
3,2,6,"28050"," - Mx 1553#48","48",4.28,4.49,6.32,5,1.1,410,20,154,169,173,"","y","","y"
1,9,8,"27869"," - Mx 1553#49","49",5.29,4.7,4.77,4.9,0.3,460,27,178,202,NA,"","","y","y"
2,3,10,"27983"," - Mx 1553#49","49",5.32,5.44,5.25,5.3,0.1,370,19,192,212,NA,"","","y","y"
3,6,5,"28045"," - Mx 1553#49","49",4.77,4.44,4.8,4.7,0.2,510,16,187,206,NA,"","","y","y"
1,9,1,"27809"," - Mx 1553#50","50",4.37,3.86,3.93,4.1,0.3,250,19,93,94,NA,"y","","","y"
2,4,6,"27951"," - Mx 1553#50","50",3.82,4.3,3.98,4,0.2,350,29,102,102,NA,"y","","","y"
3,5,12,"28105"," - Mx 1553#50","50",4.41,3.65,4.22,4.1,0.4,370,20,97,97,NA,"y","","","y"
1,5,6,"27847"," - Mx 1553#51","51",5.02,4.6,4.85,4.8,0.2,330,17,117,128,129,"y","","","y"
2,5,7,"27960"," - Mx 1553#51","51",4.53,3.96,4.28,4.3,0.3,200,21,81,81,NA,"y","","","y"
3,1,7,"28056"," - Mx 1553#51","51",4.71,4.69,4.9,4.8,0.1,240,15,103,114,115,"y","","","y"
1,8,6,"27850"," - Mx 1553#53","53",5.34,4.38,5.16,5,0.5,420,22,170,195,200,"","","y","y"
2,7,2,"27918"," - Mx 1553#53","53",4.87,4.62,4.79,4.8,0.1,420,13,164,192,195,"","","y","y"
3,6,10,"28088"," - Mx 1553#53","53",4,5.33,4.81,4.7,0.7,400,14,178,201,NA,"","","y","y"
1,2,2,"27811"," - Mx 1553#55","55",5.37,5.93,6.11,5.8,0.4,330,12,179,210,214,"","","y","y"
2,1,4,"27930"," - Mx 1553#55","55",3.36,4.86,4.56,4.3,0.8,440,17,185,216,221,"","","y","y"
3,2,11,"28093"," - Mx 1553#55","55",5.31,4.12,4.86,4.8,0.6,430,17,184,206,NA,"","","y","y"
1,9,10,"27886"," - Mx 1553#56","56",5.88,5.38,5.51,5.6,0.3,230,14,177,194,199,"","","y","y"
2,1,6,"27948"," - Mx 1553#56","56",5.09,4.92,4.86,5,0.1,370,18,181,202,207,"","","y","y"
3,1,9,"28074"," - Mx 1553#56","56",5.34,4.77,4.83,5,0.3,330,13,171,193,195,"","","y","y"
1,5,3,"27823"," - Mx 1553#57","57",4.72,5.68,4.52,5,0.6,420,20,150,180,181,"","","y","y"
2,8,8,"27971"," - Mx 1553#57","57",4.88,5.09,4.64,4.9,0.2,380,12,164,190,193,"","","y","y"
